customer_id,full_name,email,phone,shipping_address,billing_address,loyalty_tier,created_at
CUST_00000001,Allison Hill,qjacobson@example.org,6502166799,"6497 Mclean Corners Suite 365, Vazquezton, KS 43836","Unit 7628 Box 0587, DPO AA 64850",silver,2023-01-17
CUST_00000002,Noah Rhodes,ylopez@example.com,767.389.9730x8069,"55373 Brianna Lights Suite 969, South Scott, DE 83730","49726 Nicole Courts, New Matthewfurt, ME 57388",bronze,2023-07-15
CUST_00000003,Angie Henderson,seanbaker@example.com,567-917-9576x024,"96353 Heather Ramp Suite 025, Danielhaven, GA 61144","3595 Dominguez Port Apt. 922, West Michelleville, IL 48787",platinum,2021-05-03
CUST_00000004,Daniel Wagner,jeremy49@example.org,(873)783-9597x246,"4315 Hendricks River, Cherylstad, LA 54757","8925 Brandon Knolls Apt. 674, Fowlerborough, MN 71455",gold,2024-04-10
CUST_00000005,Cristian Santos,karencontreras@example.org,329.834.1722x3297,"5443 Fletcher Turnpike, Port Peggyville, MO 75131","177 Hicks Haven, Hayesbury, MN 81007",bronze,2020-02-16
CUST_00000006,Connie Lawrence,lindsey69@example.org,243.338.0054x5228,"PSC 9393, Box 4497, APO AA 30177","PSC 5843, Box 8356, APO AP 76350",bronze,2022-02-16
CUST_00000007,Abigail Shaffer,randallloretta@example.com,661-493-1837x45508,"4088 Dustin Causeway Suite 862, Cummingsborough, OK 88189","52019 Bryan Light, Ronaldshire, DE 19991",bronze,2022-11-05
CUST_00000008,Gina Moore,parmstrong@example.com,001-289-310-7711x991,"32109 Anderson Spurs Apt. 170, Murphyhaven, MI 25760","91969 Jason Garden Apt. 313, Hawkinston, MD 84569",bronze,2021-12-11
CUST_00000009,Gabrielle Davis,christian08@example.net,(313)452-4787,"5792 Benjamin Branch Apt. 449, Charlesfurt, CA 19949","753 Mark Isle, South Hannah, AR 18294",silver,2021-02-04
CUST_00000010,Ryan Munoz,davidtodd@example.org,+1-455-321-3760x3754,"002 Rodriguez Tunnel, East Jessicamouth, MA 52075","747 Daniel Point Apt. 699, West Julie, DE 59753",bronze,2024-12-22
CUST_00000011,Monica Herrera,teresastokes@example.org,856-953-2863x266,"59570 Arellano Common Apt. 145, Jaimemouth, MO 51342","29317 Dixon Isle, Port Johnview, TX 95032",bronze,2020-09-06
CUST_00000012,Jamie Arnold,hendersonvanessa@example.com,250.872.0811x55626,"88503 Zamora Field, Mooreberg, AZ 33093","0557 Hardy Tunnel Apt. 743, East Elizabethborough, ME 84483",silver,2021-01-25
CUST_00000013,Lisa Hensley,wendyburton@example.net,001-602-490-8466x84550,"2463 Andrew Fort Suite 968, Harringtonside, MP 04173","81157 Johnson Radial Apt. 720, Zacharyborough, MS 78033",bronze,2020-11-30
CUST_00000014,Michele Williams,luis11@example.com,001-367-238-9975x634,"294 Mullins Causeway Apt. 177, Calebview, ID 05421","5629 Gonzalez Ports Apt. 686, Brayhaven, ND 41844",bronze,2021-09-20
CUST_00000015,Dylan Miller,rarnold@example.net,+1-656-728-8431,"23850 Fernando Points Suite 665, South Karen, VA 99315","439 Adams Coves Apt. 104, Port Tommy, WA 78227",bronze,2020-05-16
CUST_00000016,Brian Ramirez,astark@example.net,001-620-708-9434x68105,"PSC 2332, Box 8293, APO AE 18365","4921 Daniel Pine, New Amychester, RI 82086",bronze,2024-03-01
